BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
1925,Best VGM 1925,Dragon Force,Relaxation,Tatsuyuki Maeda,Saturn,1996,https://www.youtube.com/watch?v=08Ydr4VIH-U
1926,Best VGM 1926,R: Racing Evolution,Divas,"Yuu Miyake, Hiroshi Okubo, Akitaka Tohyama","Playstation 2, GameCube, Xbox",2003,https://www.youtube.com/watch?v=OWgqRF5Xb3Y
1927,Best VGM 1927,Atelier Iris 2: The Azoth of Destiny,Slasher Blue,"Ken Nakagawa, Daisuke Achiwa",Playstation 2,2006,https://www.youtube.com/watch?v=TJ71pd1vzaE
1928,Best VGM 1928,Super Turrican,Stage 1-3,Chris Huelsbeck,SNES,1993,https://www.youtube.com/watch?v=KOqwntqBrBA
1929,Best VGM 1929,Wipeout,Operatique,CoLD SToRAGE,"Playstation, PC, Saturn",1995,https://www.youtube.com/watch?v=3pDNbY2N4W4
1930,Best VGM 1930,Goemon's Great Adventure,Underworld Castle,"Shigeru Araki, Yasumasa Kitagawa, Hirotaka Kurita,",Nintendo 64,1999,https://www.youtube.com/watch?v=lbVhy3BLJ5g
1931,Best VGM 1931,Doki Doki Majo Shinpan!,Dear Little Lovers,Youhei Shiokawa,DS [Japan Only],2007,https://www.youtube.com/watch?v=CMd4RiK9XzM
1932,Best VGM 1932,Drawn to Life: The Next Chapter,Time to Draw a Hero!,David J. Franco,DS,2009,https://www.youtube.com/watch?v=pZ9VWTHTyYc
1933,Best VGM 1933,The Operative: No One Lives Forever,Menu Theme,Guy Whitmore,"Playstation 2, PC",2000,https://www.youtube.com/watch?v=rTFsczeXR4I
1934,Best VGM 1934,BattleBlock Theater,Mr. Finale,Patric Catani,"Xbox 360, PC",2013,https://www.youtube.com/watch?v=CORG9B8FsyU
1935,Best VGM 1935,Castlevania II: Belmont's Revenge,Praying Hands,Hidehiro Funauchi,Game Boy,1991,https://www.youtube.com/watch?v=K-xMfuOfiAM
1936,Best VGM 1936,Fragile Dreams: Farewell Ruins of the Moon,Something Called Trust,Riei Saito,Wii,2010,https://www.youtube.com/watch?v=QeROk766UHg
1937,Best VGM 1937,Rampage 2: Universal Tour,Title Screen,Aubrey Hodges,"Nintendo 64, Playstation",1999,https://www.youtube.com/watch?v=sUHHWiGrhrE
1938,Best VGM 1938,Ico,Castle in the Mist,"Michiru Oshima, Koichi Yamazaki, Mitsukuni Murayama",Playstation 2,2001,https://www.youtube.com/watch?v=r6shw1JPkeo
1939,Best VGM 1939,Phoenix Wright Ace Attorney: Spirit of Justice,Cross-Examination ~ Allegro 2016,"Noriyuki Iwadare, Toshihiko Horiyama, Masami Onodera",3DS,2016,https://www.youtube.com/watch?v=mO1aXWaTuGU
1940,Best VGM 1940,Digimon World,File City (Night),"Koji Yamada, Yuko Ishii",Playstation,2000,https://www.youtube.com/watch?v=ImptjhXLols
1941,,,,,,,
1942,Best VGM 1942,Umihara Kawase,Kawanabe Theme,"Masahito Nakano, Atsuhiro Motoyama, Shinji Tachikawa",Super Famicom [Japan Only],1994,https://www.youtube.com/watch?v=9hUdEuKldMo
1943,Best VGM 1943,The King of Fighters 2003,Villainous,"Masahiko Hataya, Yasumasa Yamada, Yasuo Yamate","Neo Geo, Arcade",2003,https://www.youtube.com/watch?v=98H7NctQOvQ
1944,Best VGM 1944,Warsong,Friendly Fight,"Noriyuki Iwadare, Isao Mizoguchi, Hiroshi Fujioka",Genesis,1991,https://www.youtube.com/watch?v=-3SWrrr2OVk
1945,Best VGM 1945,Bust-A-Move DS,Puzzle Mode BGM 2,Kuniharu Matsuda,DS,2005,https://www.youtube.com/watch?v=pwxomZpiXPo
1946,Best VGM 1946,Yu-Gi-Oh! Duel Links,Kalin Kessler/Malcolm Crew/Lawton,Unknown,"Mobile, PC",2017,https://www.youtube.com/watch?v=-PjxcrZ2R8Q
1947,Best VGM 1947,Muramasa: The Demon Blade,Seasonal Beauties B,Hitoshi Sakimoto,Wii,2009,https://www.youtube.com/watch?v=sZAIErmWfIE
1948,Best VGM 1948,StarTropics,Overworld,Yoshio Hirai,NES,1990,https://www.youtube.com/watch?v=cmazV2TPyfM
1949,Best VGM 1949,Devil May Cry 3: Dante's Awakening,Dante's Office (7 Hells Battle),Tetsuya Shibata,Playstation 2,2005,https://www.youtube.com/watch?v=U9h8rwJcFj4
1950,Best VGM 1950,Lost Judgement,Unwavering Belief (Game Ver.),"Hidenori Shoji, Yuri Fukuda, Chihiro Aoki, Saori Yoshida, Satoshi Okamura, Keitaro Hanada, Takahiro Kai","Playstation 4, Playstation 5, Xbox One, Xbox Series X/S",2021,https://www.youtube.com/watch?v=S-EBuy9rVow
1951,,,,,,,
1952,,,,,,,
1953,Best VGM 1953,Espgaluda II,Zures ~ Incarnation of Life,"Manabu Namiki, Mitsuhiro Kaneda","Mobile, Switch",2010,https://www.youtube.com/watch?v=lBtxahcFkTY
1954,Best VGM 1954,Resident Evil,Still Dawn,"Makoto Tomozawa, Koichi Hiroki, Masami Ueda",Playstation,1996,https://www.youtube.com/watch?v=Pizf5gwBshY
1955,Best VGM 1955,Undertale,Death by Glamour,Toby Fox,"PC, Playstation 4, Playstation Vita, Switch",2015,https://www.youtube.com/watch?v=JRHzBf6knrM
1956,Best VGM 1956,Chameleon Twist,Kids' Land,"Takashi Sugioka, Takashi Makino, Yuuji Nakao, Nobutoshi Ichimiya, Koki Tochio, Tsutomu Washijima, Hiroshi Takami, Fumihiko Yamada",Nintendo 64,1997,https://www.youtube.com/watch?v=hKYUcfTByyc
1957,,,,,,,
1958,Best VGM 1958,Wonder Boy III: The Dragon's Trap,The Last Dungeon,Shinichi Sakamoto,Sega Master System,1989,https://www.youtube.com/watch?v=fmv2CaxCouE
1959,Best VGM 1959,Shin Megami Tensei V,Fairy Village,"Ryota Kozuka, Toshiki Konishi",Switch,2021,https://www.youtube.com/watch?v=-Q9F9iLEtSI
1960,Best VGM 1960,Klonoa 2: Lunatea's Veil,Cave of Glimmer Moss,"Kanako Kakino, Eriko Imura, Katsuro Tajima, Asuka Sakai, Go Shiina",Playstation 2,2001,https://www.youtube.com/watch?v=C9lFMd33v-k
1961,Best VGM 1961,Pier Solar and the Great Architects HD,Main Theme,"Zable Fahr, Tulio Adriano, Tiido Priimagi","Playstation 3, Playstation 4, PC, Xbox One, Wii U",2014,https://www.youtube.com/watch?v=sSt9NX399HQ
1962,,,,,,,
1963,Best VGM 1963,TrickStyle,Japan Race 1,Richard Beddow,"Dreamcast, PC",1999,https://www.youtube.com/watch?v=cTnEx5OmhJ8
1964,Best VGM 1964,Megami Tensei Gaiden: Last Bible II,Ship,"Hiroyuki Yanada, Iwao Mitsunaga","Game Boy, Game Boy Color [Japan Only]",1993,https://www.youtube.com/watch?v=Q9EYdt08-8M
1965,Best VGM 1965,Ridge Racer,Disco Ball,Hiroshi Okubo,PSP,2005,https://www.youtube.com/watch?v=0XMRypmzZmY
1966,Best VGM 1966,Conker's Bad Fur Day,Rock Solid,"Robin Beanland, Chris Seavor",Nintendo 64,2001,https://www.youtube.com/watch?v=TO-ZfnwEUKI
1967,Best VGM 1967,The Urbz: Sims in the City,King Tower,Ian Stocker,"Game Boy Advance, DS",2004,https://www.youtube.com/watch?v=0GD_h681XXM
1968,Best VGM 1968,Fighter's History,Ray,Gamadelic,"SNES, Arcade",1993,https://www.youtube.com/watch?v=w8bj_mL9h8Q
1969,Best VGM 1969,Dragon Valor,Brize Forest,"Nobuhiro Ouchi, Ayako Yamaguchi",Playstation,2000,https://www.youtube.com/watch?v=cFo6pcPClZg
1970,Best VGM 1970,Ni no Kuni II: Revenant Kingdom,The Great Outdoors,Joe Hisaishi,"Playstation 4, Switch, PC",2018,https://www.youtube.com/watch?v=s_DSo0QD58A
1971,Best VGM 1971,Dragon Ball Z: Budokai 3,Impulse to Victory,Kenji Yamamoto,Playstation 2,2004,https://www.youtube.com/watch?v=XqROVsxWO6Y
1972,Best VGM 1972,Sonic Forces,Fading World - Imperial Tower,"Tomoya Ohtani, Naofumi Hataya, Kenichi Tokoi, Takahito Eguchi","Playstation 4, Xbox One, Switch, PC",2017,https://www.youtube.com/watch?v=dCwnxrkGXA8
1973,,,,,,,
1974,Best VGM 1974,Gauntlet Legends,Castle Courtyard,John Paul,"Arcade, Nintendo 64, Playstation, Dreamcast",1998,https://www.youtube.com/watch?v=FMXJEWTB75A
1975,Best VGM 1975,Princess Crown,Lonely Village,Toshikazu Tanaka,Saturn [Japan Only],1997,https://www.youtube.com/watch?v=7-EO5zyFjPQ
1976,Best VGM 1976,Shatter,Kinetic Harvest,Module,"Playsation 3, PC",2009,https://www.youtube.com/watch?v=VbU85K3F3uc
1977,Best VGM 1977,Command & Conquer: Red Alert 2,Destroy,Frank Klepacki,PC,2000,https://www.youtube.com/watch?v=bFHJ-7BE-gQ
1978,,,,,,,
1979,Best VGM 1979,Code of Princess,Turn it Up!,ACE,"3DS, PC, Switch",2012,https://www.youtube.com/watch?v=GySp78ZD4eQ
1980,Best VGM 1980,Jumping Flash!,Boss Transforming Cube Machine,Takeo Miratsu,Playstation,1995,https://www.youtube.com/watch?v=sva8t7YaeIQ
1981,Best VGM 1981,Bloodborne - The Old Hunters DLC,Living Failures,"Ryan Amon, Tsukasa Saitoh, Yuka Kitamura, Nobuyoshi Suzuki, Cris Velasco, Michael Wandmacher",Playstation 4,2015,https://www.youtube.com/watch?v=mEzb94dWkKQ
1982,Best VGM 1982,Zone of the Enders: The 2nd Runner,Final Battle,"Maki Kirioka, Akihiro Honda, Toshiyuki Kakuta, Norihiko Hibino",Playstation 2,2003,https://www.youtube.com/watch?v=faEL4ACWkXw
1983,Best VGM 1983,BlazBlue: Continuum Shift Extend,X-matic,Daisuke Ishiwatari,"Playstation 3, Vita, Xbox 360, PC",2012,https://www.youtube.com/watch?v=4-TIPeGfyc8
1984,,,,,,,
1985,Best VGM 1985,Splosion Man,Funky Experiment,"Matt ""Chainsaw"" Chaney",Xbox 360,2009,https://www.youtube.com/watch?v=2Vv-cEwLSOM
1986,Best VGM 1986,The Adventure of Little Ralph,Stage 1-1 - Departure,"Hideki Sato, Hiroshi Kuronuma, Naoki Tsuchiya",Playstation [JP Only],1999,https://www.youtube.com/watch?v=GwG9P5p_i4g
1987,,,,,,,
1988,Best VGM 1988,Super Bonk,Game Over,"Masaaki Nishizawa, Keiji Ueki, Kennosuke Suemura",SNES,1994,https://www.youtube.com/watch?v=U3ZXB2Q8i2E
1989,Best VGM 1989,Bomberman II,"Area 1, 3 & 5",Jun Chikuma,NES,1993,https://www.youtube.com/watch?v=0fP0hXOIoko
1990,Best VGM 1990,Zoop,Scattin' Bones,"Bob Scumaci, Mark Davis, Brian L. Schmidt",Genesis,1995,https://www.youtube.com/watch?v=kzSZa1ELw88
1991,Best VGM 1991,Revelations: Persona,High School,"Hidehito Aoki, Misaki Okibe, Kenichi Tsuchiya, Shoji Meguro",Playstation,1996,https://www.youtube.com/watch?v=-MUNjfC006s
1992,Best VGM 1992,13 Sentinels: Aegis Rim,"Go Sentinels, Go!","Hitoshi Sakimoto, Yukinori Kikuchi, Mitsuhiro Kaneda, Yoshimi Kudo, Rikako Watanabe, Kazuki Higashihara, Azusa Chiba","Playstation 4, Switch",2020,https://www.youtube.com/watch?v=bKSvmJSeLo0
1993,Best VGM 1993,Breath of Fire: Dragon Quarter,Ranger Base,Hitoshi Sakimoto,Playstation 2,2003,https://www.youtube.com/watch?v=4V4ASXE9RRI
1994,Best VGM 1994,Beyond Good & Evil,Fear the Reaper,Christophe Heral,"Playstation 2, GameCube, Xbox, PC",2003,https://www.youtube.com/watch?v=OfrE-iDcEHs
1995,Best VGM 1995,Radiant Historia: Perfect Chronology,The Colourless Moment,Yoko Shimomura,3DS,2018,https://www.youtube.com/watch?v=2LwokECz3aQ
1996,Best VGM 1996,Atelier Shallie: Alchemists of the Dusk Sea,Octopunch,"Kazuki Yanagawa, Hayato Asano, Daisuke Achiwa",Playstation 3,2015,https://www.youtube.com/watch?v=n4nLtb2Exzo
1997,Best VGM 1997,Quartett! The Stage of Love,Season in Full Bloom (Double Quartet & Piano Ver.),Soushi Hosoi,"Playstation 2, PC [Japan Only]",2004,https://www.youtube.com/watch?v=cnWYZ95o8uo
1998,Best VGM 1998,The Smurfs' Nightmare,The Mysterious Planet,Alberto Jose Gonzalez,Game Boy Color,1999,https://www.youtube.com/watch?v=LpjdrfWTN0g
1999,Best VGM 1999,Sonic R,Super Sonic Racing,Richard Jacques,Saturn,1997,https://www.youtube.com/watch?v=CUcm6AJMA9o
2000,,,,,,,
2001,,,,,,,
2002,Best VGM 2002,Ms. Pac-Man: Maze Madness,Cleopactra,Jon Cicin Holland,"Playstation, Dreamcast",2000,https://www.youtube.com/watch?v=QImcwG5_sfc
2003,Best VGM 2003,Street Fighter V,Theme of Rashid,"Masahiro Aoki, Hideyuki Fukasawa, Keiki Kobayashi,","Playstation 4, PC, Arcade",2016,https://www.youtube.com/watch?v=CCanUwhBKww
2004,Best VGM 2004,Conquest of the Crystal Palace,Kim's Shop,Mitsuyasu Tomohisa,NES,1990,https://www.youtube.com/watch?v=Gn-T4mpc1u8
2005,Best VGM 2005,CrisTales,The Timeless Battle,Tyson Wernli,"Playstation 4, Playstation 5, Xbox One, Xbox Series X/S, Switch, PC",2021,https://www.youtube.com/watch?v=OHid3t-9gh4
2006,Best VGM 2006,Dead or Alive 2,Blazed Up Melpomene,Makoto Hosoi,"Dreamcast, Playstation, Arcade",2000,https://www.youtube.com/watch?v=b8UOS5C7NEM
2007,Best VGM 2007,LittleBigPlanet,GirlyGoodie Two Shoes,"Kenneth C M Young, Mat Clark, Daniel Pemberton",Playstation 3,2008,https://www.youtube.com/watch?v=OQefjfSKfyg
2008,Best VGM 2008,Wangan Midnight Maximum Tune 6,Maximum Synergy,Yuzo Koshiro,Arcade [Japan Only],2018,https://www.youtube.com/watch?v=q8xb8RTfGlM
2009,,,,,,,
2010,Best VGM 2010,Mega Man Maverick Hunter X,Flame Mammoth Stage,,PSP,2006,https://www.youtube.com/watch?v=D6duyEj59gE
2011,Best VGM 2011,Sid Meier's Civilization V,Washington Peace 'America the Beautiful',"Jerome Coullet, Michael Curran, Geoff Knorr",PC,2010,https://www.youtube.com/watch?v=cJ4wnBc62-s
2012,Best VGM 2012,Killer Instinct,I'm Back (to Rise!),"Mick Gordon, Atlas Plug, Celldweller","Xbox One, PC",2013,https://www.youtube.com/watch?v=spK0-1wsIK4
2013,Best VGM 2013,Tenchu: Stealth Assassins,Infiltrate the Manji Cult,Noriyuki Asakura,Playstation,1998,https://www.youtube.com/watch?v=Nhdi0sxyO2s
2014,Best VGM 2014,Digimon World: Next Order,Voynich's Forgotten Sketches,Toshiyuki Kishi,Playstation 4,2017,https://www.youtube.com/watch?v=YR3LTM7r-OI
2015,Best VGM 2015,Zone of the Enders: The Fist of Mars,Intermission,"Tatsuya Fujiwara, Susumu Nakamura",Game Boy Advance,2002,https://www.youtube.com/watch?v=72Q2v3rXamI
2016,Best VGM 2016,Castlevania: Curse of Darkness,Abandoned Castle,"Michiru Yamane, Yuka Watanabe","Playstation 2, Xbox",2005,https://www.youtube.com/watch?v=cC0rOP-pGHY
2017,Best VGM 2017,Danganronpa: Trigger Happy Havoc,Discussion (Turn Up the Heat),Masafumi Takada,"Vita, PC",2014,https://www.youtube.com/watch?v=12BLr-_T32I
2018,Best VGM 2018,Dick Tracy,Building,George Alistair Sanger,NES,1990,https://www.youtube.com/watch?v=YRxjAHvDmB4
2019,Best VGM 2019,Soma Bringer,"Zain, the Floating Continent",Yasunori Mitsuda,DS [Japan Only],2008,https://www.youtube.com/watch?v=hZmDWBHG_7k
2020,Best VGM 2020,GoldenEye 007,Mission Status,"Graeme Norgate, Grant Kirkhope, Robin Beanland",Nintendo 64,1997,https://www.youtube.com/watch?v=ThlU8HsuBmE
2021,Best VGM 2021,Shin Megami Tensei Persona 2: Innocent Sin,Abandoned Factory,"Toshiko Tasaki, Kenichi Tsuchiya, Masaki Kurokawa",PSP,2011,https://www.youtube.com/watch?v=rsTfDxqeVEY
2022,Best VGM 2022,Phoenix Wright Ace Attorney: Justice for All,Examination ~ Allegro 2002,Naoto Tanaka,DS,2007,https://www.youtube.com/watch?v=trWcbe0hhIk
2023,,,,,,,
2024,Best VGM 2024,Die Hard Trilogy,Dulles Airport,"Steve Root, Neil Palmer","Playstation, Saturn, PC",1996,https://www.youtube.com/watch?v=yEDQ4rBu5ZY
2025,Best VGM 2025,Yakuza Kiwami,Set My Heart,"Hidenori Shoji, Sachio Ogawa, Keitaro Hanada, Fumio Ito, Yuri Fukuda",Playstation 4,2017,https://www.youtube.com/watch?v=bqyHfs9yXsM
2026,Best VGM 2026,Dragon Crystal,Floors 1 to 10,E. Fugu,Game Gear,1991,https://www.youtube.com/watch?v=suwAh5yM_fg
2027,Best VGM 2027,deBlob 2,The Colourist Agenda,,"Xbox 360, Playstation 3, Wii",2011,https://www.youtube.com/watch?v=IIcHmtc2mh4
2028,Best VGM 2028,After Burner: Climax,After Burner Climax,"Keisuke Tsukahara, Fumio Ito, Masanori Takeuchi","Arcade, Playstation 3, Xbox 360, Mobile",2006,https://www.youtube.com/watch?v=aolLHYNo6XQ
2029,Best VGM 2029,The Gunstringer,Whistle While You Work,"Matt Chaney, Alex Leclair, Gabe Pope, Mike Albanese, Jace Bartet",Xbox 360,2011,https://www.youtube.com/watch?v=9ilEYMWaAEc
2030,Best VGM 2030,Super Robot Taisen 64,To the Sorrowful Battlefield,T's Music,Nintendo 64 [Japan Only],1999,https://www.youtube.com/watch?v=dg51kBFeeWE
2031,,,,,,,
2032,Best VGM 2032,Prinny: Can I Really Be the Hero?,Green Labyrinth,Tenpei Sato,PSP,2009,https://www.youtube.com/watch?v=4H1hGYcludA
2033,,,,,,,
2034,,,,,,,
2035,Best VGM 2035,Wipeout XL,Body in Motion,CoLD SToRAGE,"Playstation, PC",1996,https://www.youtube.com/watch?v=ONeEQFvY2A8
2036,Best VGM 2036,Top Angler: Real Bass Fishing,Ruins Area,Makoto Iida,"Playstation 2, GameCube",2003,https://www.youtube.com/watch?v=geIGvw-hFJQ
2037,Best VGM 2037,Wild Woody,Monkey Flush,"Ron ""Bumblefoot"" Thal",Sega CD [N. America Only],1995,https://www.youtube.com/watch?v=gNehV_ABeq8
2038,Best VGM 2038,Mekazoo,Avian Animosity,The Quiggles,"PC, Playstation 4, Xbox One",2016,https://www.youtube.com/watch?v=pgXjpYZjJmo
2039,Best VGM 2039,The King of Fighters '94,Esaka (Japan),Masahiko Hataya,"Neo Geo, Arcade",1994,https://www.youtube.com/watch?v=hivM5ycNfMY
2040,Best VGM 2040,Mega Man Zero 4,Promise - Next New World,"Ippo Yamada, Masaki Suzuki, Luna Umegaki, Shinichi Itakura",Game Boy Advance,2005,https://www.youtube.com/watch?v=rPwYSIW9iLA
2041,Best VGM 2041,Risky Woods,Title,José Antonio Martin Tello,Amiga,1992,https://www.youtube.com/watch?v=hY6PCu-flFU
2042,Best VGM 2042,Teenage Mutant Ninja Turtles IV: Turtles in Time,"Big Apple, 3 A.M.","Mutsuhiko Izumi, Kozo Nakamura",SNES/Arcade,,https://www.youtube.com/watch?v=BC03bUbQAzo
2043,Best VGM 2043,Wild Arms XF,The Outlaws,Michiko Naruke,PSP,2008,https://www.youtube.com/watch?v=x8XpAjDpbDY
2044,Best VGM 2044,Shadowrun Returns,Followed,"Gavin Parker, Marshall Parker, Sam Powell, Jim Soldi","PC, Mobile",2013,https://www.youtube.com/watch?v=dFtqFEv2X0I
2045,Best VGM 2045,Guilty Gear 2: Overture,Holy Orders (Be Just or Be Dead),"Daisuke Ishiwatari, Hiromi Mizutani, Yoshihiro Kusano","Xbox 360, PC",2009,https://www.youtube.com/watch?v=HBdGszVm5lg
2046,Best VGM 2046,Ape Escape,Medieval Mayhem ~ Crumbling Castle,Soichi Terada,Playstation,1999,https://www.youtube.com/watch?v=WQK4PF4Xo1A
2047,,,,,,,
2048,Best VGM 2048,Shadow Hearts: Covenant,Old Smudged Map,"Yoshitaka Hirota, Yasunori Mitsuda, Kenji Ito",Playstation 2,2004,https://www.youtube.com/watch?v=CCxq8WV_JCI
2049,Best VGM 2049,Rayman 3: Hoodlum Havoc,FunkyBoard,"Plume, Fred Leonard, Laurent Parisi","GameCube, Playstation 2, Xbox, PC, N-Gage",2003,https://www.youtube.com/watch?v=_MyLOhzH8Xw
2050,,,,,,,
2051,Best VGM 2051,Super Spike V'Ball,Daytona Match,Kazunaka Yamane,NES,1990,https://www.youtube.com/watch?v=JG4MvGicfUk
2052,Best VGM 2052,Chaos Code,Eleganza (Cthylla Stage),"Mint Jarn, nekono, Kou",Playstation 3,2013,https://www.youtube.com/watch?v=v1hywh5I06c
2053,Best VGM 2053,Harvest Moon,Town,Tsuyoshi Tanaka,SNES,1997,https://www.youtube.com/watch?v=zTQ9O2651sQ
2054,Best VGM 2054,Raiden V,Unknown Pollution,Yoshimi Kudo,Xbox One,2016,https://www.youtube.com/watch?v=KIkeCNW9T34
2055,Best VGM 2055,Chroma Squad,Dance to the Beating,"Raphael Müller, Washington Rayk","PC, Mobile, Playstation 4, Xbox One, Switch",2015,https://www.youtube.com/watch?v=BYR25xamIk0
2056,Best VGM 2056,Ghost Trick: Phantom Detective,A Dashing Enigma,Masakazu Sugimori,DS,2011,https://www.youtube.com/watch?v=iOxG7Swg-yQ
2057,Best VGM 2057,Gex,Title Screen,"Greg Weber, Steve Henifin","Playstation, 3DO, Saturn",1995,https://www.youtube.com/watch?v=wbWlbf7bQnE
2058,,,,,,,
2059,Best VGM 2059,Pinky Street Kira Kira * Music Night (Pop Town [EU]),The End of the SHOW,"Senorita Tsukaguchi, Tomohisa Kuraya, Barbara Aki, Miyakofu, Morimori",DS [Japan & Europe Only],2007,https://www.youtube.com/watch?v=ZnnptLvceAI
2060,Best VGM 2060,Mighty No. 9,Avi's News Report,"Manami Matsumae, Ippo Yamada","PC, Playstation 3, Playstation 4, Xbox 360, Xbox One, Wii U",2016,https://www.youtube.com/watch?v=kfN9-2ZEoDY
2061,,,,,,,
2062,Best VGM 2062,Resident Evil Zero,Save Room,Seiko Kobuchi,GameCube,2002,https://www.youtube.com/watch?v=QVCt0rmWpEQ
2063,Best VGM 2063,inFAMOUS,End of the Road,"James Dooley, Amon Tobin, Mel Wesson, Martin Tillman, JD Mayer",Playstation 3,2009,https://www.youtube.com/watch?v=88AvcsRn3Lo
2064,Best VGM 2064,Gran Turismo 4,Light Velocity Ver. II,"Masahiro Andoh, Isamu Ohira",Playstation 2,2005,https://www.youtube.com/watch?v=OV7xupc8T58
2065,Best VGM 2065,Ys VIII: Lacrimosa of Dana,Theos-De-Endrogram,"Hayato Sonoda, Takahiro Unisuga, Yukihiro Jindo, Mitsuo Singa","Playstation 4, Playstation Vita, Switch, PC",2017,https://www.youtube.com/watch?v=ElJuP8rjFfc
2066,Best VGM 2066,Crash Bandicoot 2: N-Tranced,Wakeboard,Manfred Linzer,Game Boy Advance,2003,https://www.youtube.com/watch?v=syvTz76WS_A
2067,Best VGM 2067,Apollo Justice: Ace Attorney,Klavier Gavin ~ Guilty Love,"Toshihiko Horiyama, Hideki Okugawa",DS,2008,https://www.youtube.com/watch?v=KF9-mFi_Gq8
2068,Best VGM 2068,X-Men vs. Street Fighter,Theme of Gambit,"Yuki Iwai, Yuko Takehara",Playstation,1998,https://www.youtube.com/watch?v=1kQXnAH04PU
2069,Best VGM 2069,Boogerman: A Pick and Flick Adventure,Flatulent Swamps,Matt Furniss,Genesis,1994,https://www.youtube.com/watch?v=77FlT2nkoks
2070,Best VGM 2070,Giana Sisters: Twisted Dreams,The Great Giana Sisters,"Chris Huelsbeck, Machinae Supremacy, Fabian Del Priore","PC, Playstation 3, Playstation 4 Xbox 360, Xbox One, Wii U, Switch",2012,https://www.youtube.com/watch?v=_jko8UNsd_4
2071,Best VGM 2071,Killer7,Tecks Mecks,"Masafumi Takada, Jun Fukuda","GameCube, Playstation 2",2005,https://www.youtube.com/watch?v=TcNFY_nITMQ
2072,Best VGM 2072,Final Lap Twin,Town,Katsuhiro Hayashi,TurboGrafix-16,1989,https://www.youtube.com/watch?v=Us_em7kDiWM
2073,,,,,,,
2074,Best VGM 2074,Harvest Moon: Magical Melody,Meeting Jaime,"Ken-Ichi Hirata, Tomohiko Sakaida, Yusuke Gotoh, Ei Fujishima, Marih Seishi","GameCube, Wii",2006,https://www.youtube.com/watch?v=BBOGCiKDY9Q
2075,Best VGM 2075,Tekken 4,The Inner Shrine,"Akitaka Tohyama, Yuu Miyake, Satoru Kosaki, Hiroshi Okubo, Keiki Kobayashi",Playstation 2,2002,https://www.youtube.com/watch?v=YIRaxbEHOUk
2076,Best VGM 2076,Madou Monogatari,Town Theme,"Einosuke Nagao, Tsuyoshi Matsushima",Saturn [Japan Only],1998,https://www.youtube.com/watch?v=a9rlyhSI7F8
2077,Best VGM 2077,"Sid Meier's Civilization VI , 2019 (PS4/XBOne)]",England - The Atomic Age,Geoff Knorr,"PC, Switch, Playstation 4, Xbox One",2016,https://www.youtube.com/watch?v=CPAiYEa-2sw
2078,,,,,,,
2079,Best VGM 2079,Mega Man X5,Duff McWhalen Stage,"Naoto Tanaka, Naoya Kamisaka, Takuya Miyawaki",Playstation,2001,https://www.youtube.com/watch?v=CYrELffCFuY
2080,Best VGM 2080,Monster Hunter Stories,Shadow Lurking in the Grassy Plains,"Marika Suzuki, Hiromitsu Maeba","3DS, Mobile",2017,https://www.youtube.com/watch?v=HTlM9ng_AFY
2081,,,,,,,
2082,Best VGM 2082,Payday 2,Break the Rules,"Simon Viklund, Gustaf Grefberg","PC, Playstation 3, Playstation 4, Xbox 360, Xbox One, Switch",2013,https://www.youtube.com/watch?v=qE_2MPONXUc
2083,Best VGM 2083,Metropolis Street Racer,Low Lights,Richard Jacques,Dreamcast,2001,https://www.youtube.com/watch?v=SLbQp76FL9w
2084,Best VGM 2084,Panzer Dragoon,Empire,Yoshitaka Azuma,Saturn,1995,https://www.youtube.com/watch?v=k4CNGPDGLWU
2085,Best VGM 2085,Plok,Main Theme,"Tim Follin, Geoff Follin",SNES,1993,https://www.youtube.com/watch?v=6SiiAQmxmNA
2086,Best VGM 2086,Ultra Street Fighter II: The Final Challengers,Violent Ken's Theme,"Satoshi Hori, Marika Suzuki, Reo Uratani",Switch,2017,https://www.youtube.com/watch?v=T_wQEIpy39U
2087,Best VGM 2087,Shin Megami Tensei II,Disco,Tsukasa Masuko,Super Famicom [Japan Only],1994,https://www.youtube.com/watch?v=sBm4uIjwSRQ
2088,Best VGM 2088,Summon Night: Swordcraft Story,I Must Not Lose the Battle!,"Kiyohiro Sada, Kouhei Matsuoka & Minako Adachi",Game Boy Advance,2006,https://www.youtube.com/watch?v=lgojJhLTdxA
2089,Best VGM 2089,Dragon Ball Z: Attack of the Saiyans,Enemy Encounter!,Tsukasa Masuko,DS,2009,https://www.youtube.com/watch?v=IZJjJQEgiis
2090,Best VGM 2090,Crash Bandicoot: Warped,Orient Express/Midnight Run,Josh Mancell,Playstation,1998,https://www.youtube.com/watch?v=i26_mg6Q2P8
2091,,,,,,,
2092,Best VGM 2092,Eschatos,Stellar Light,Yousuke Yasui,"PC, Playstation 4, Switch",2015,https://www.youtube.com/watch?v=I6UVVi2hfcY
2093,Best VGM 2093,Bioshock 2,Eleanor's Lullaby,Garry Schyman,"Playstation 3, Xbox 360, PC",2010,https://www.youtube.com/watch?v=5vPwZGqohWU
2094,Best VGM 2094,Halo Wars,Spirit of Fire,Stephen Rippy,Xbox 360,2009,https://www.youtube.com/watch?v=_iQqOP8shMY
