BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
96,Best VGM 096,Metal Gear Solid,Encounter,"Kazuki Muraoka, Hiroyuki Togo, Takanari Ishiyama,",Playstation,1998,https://www.youtube.com/watch?v=Lbr4QHNv6R4
97,Best VGM 097,Tetrisphere,Extol,Neil Voss,Nintendo 64,1997,https://www.youtube.com/watch?v=vHC3QJZIQLI
98,Best VGM 098,Rayman Legends,Mariachi Madness,"Christophe Heral, Billy Martin","Playstation 3, Playstation 4, Xbox 360, Xbox One, Wii U, Playstation Vita, PC",2013,https://www.youtube.com/watch?v=YqLa6N4d5VM
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,Best VGM 102,Persona 4: Dancing All Night,I'll Face Myself (And I'll Keep on Dancing),Ryota Koduko,"Playstation Vita, Playstation 4",2015,https://www.youtube.com/watch?v=2W7IPx2avRY
103,,,,,,,
104,Best VGM 104,Sid Meier's Civilization IV,Baba Yetu (Title Screen),"Jeffrey L. Briggs, Christopher Tin",PC,2005,https://www.youtube.com/watch?v=HLl4ZqVDziU
105,Best VGM 105,Viva Piñata: Trouble in Paradise,Oven-Fresh Day,Grant Kirkhope,Xbox 360,,https://www.youtube.com/watch?v=SLB8GIRUb3o
106,,,,,,,
107,Best VGM 107,Dark Cloud,Matataki Village,Tomohito Nishiura,Playstation 2,2001,https://www.youtube.com/watch?v=LYhySQdzVs4
108,Best VGM 108,Street Fighter II,Ken's Stage,"Yoko Shimomura, Isao Abe",Super Nintendo,1992,https://www.youtube.com/watch?v=jj1rrna4bV8
109,Best VGM 109,M.C. Kids,Stage Theme 1,Charles Deenen,NES,1992,https://www.youtube.com/watch?v=q7S0HFkV3GI
110,Best VGM 110,Yooka-Laylee,Hivory Towers,"Grant Kirkhope, David Wise, Steve Burke","PC, Playstation 4, Xbox One, Nintendo Switch",2017,https://www.youtube.com/watch?v=9SvYKlv3jQk
111,,,,,,,
112,Best VGM 112,Aerostar,Stage 1,Dota Ando,Game Boy,1991,https://www.youtube.com/watch?v=7ZfSuPrHqNI
113,Best VGM 113,Dragoneer's Aria,Mt. Baird,"Shinichiro Sato, Satoshi Okubo",Playstation Portable,2007,https://www.youtube.com/watch?v=JCHSqEMRt4U
114,,,,,,,
115,Best VGM 115,Skies of Arcadia [Legends],Uninhabited Island,"Yutaka Minobe, Tatsuyuki Maeda",Dreamcast/Game Cube,2000,https://www.youtube.com/watch?v=xrxi7NW0UT4
116,Best VGM 116,Alan Wake,The Poet and the Muse,Petri Alanko,Xbox 360/PC,2010,https://www.youtube.com/watch?v=EWhHn6J90i8
117,Best VGM 117,Cooking Mama,Let's Cook 5,Chami,Nintendo DS,2006,https://www.youtube.com/watch?v=CMstCqIZPI0
118,Best VGM 118,Mischief Makers,Out!!,Norio Hanzawa,Nintendo 64,1997,https://www.youtube.com/watch?v=f1LsKpeD0n8
119,Best VGM 119,Zero Wing,Open Your Eyes,"Tatsuya Uemura, Toshiaki Tomisawa, Masahiro Yuge",Mega Drive [Japan & Europe Only],1992,https://www.youtube.com/watch?v=StDhJ5yS7oY
120,,,,,,,
121,Best VGM 121,Harvest Moon: Back to Nature,Town,Miyuki Homareda,Playstation,2000,https://www.youtube.com/watch?v=PMgioWqPv8o
122,,,,,,,
123,Best VGM 123,Mega Man 3,Top Man Stage,"Yasuaki Fujita, Harumi Fujita",NES,1990,https://www.youtube.com/watch?v=yYN5HaU5bWU
124,Best VGM 124,Ape Escape 2,Freaky Monkey Five Battle,Koji Hayama,Playstation 2,2003,https://www.youtube.com/watch?v=Ijb4Y-Hpt4U
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,Best VGM 128,Tearaway,Gibbet Hill - Pilgrimage,"Kenneth C M Young, Brian D'Oliveira",Vita,2013,https://www.youtube.com/watch?v=xe3kbFVYpcQ
129,,,,,,,
130,Best VGM 130,Lunar: Eternal Blue,Promenade,Noriyuki Iwadare,Sega CD,1995,https://www.youtube.com/watch?v=wb1MLpFiWJs
131,,,,,,,
132,,,,,,,
133,Best VGM 133,Rune Factory Frontier,Lava Ruins,Tomoko Morita,Wii,2009,https://www.youtube.com/watch?v=a5c8EbmTDlc
134,Best VGM 134,Mega Man X5,X vs. Zero,"Naoto Tanaka, Naoya Kamisaka, Takuya Miyawaki",Playstation,2001,https://www.youtube.com/watch?v=CvSETUB6rVM
135,Best VGM 135,Bully,Vendetta Preps,Shawn Lee,Playstation 2,2006,https://www.youtube.com/watch?v=Dq7z1hJWvhE
136,,,,,,,
137,Best VGM 137,Disgaea: Hour of Darkness,Running Fire,Tenpei Sato,Playstation 2,2003,https://www.youtube.com/watch?v=A1-OMi2SixM
