BVGM#,SD Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
82,Best VGM 82,Zelda : Wind Waker,Dragon Roost Island,Koji Kondo,GameCube,2003,https://youtu.be/d0dhTHp-XqI
83,Best VGM 83,Donkey Kong Country 2,Bayou Boogie,David Wise,SNES,1995,https://youtu.be/9pB0AYVrSTo
84,Best VGM 84,Grandia,Town of Parm,Noriyuki Iwadare,PS1 / Saturn,1997,https://youtu.be/NJShjCYd6vk
85,Best VGM 85,Secret of Mana,A Curious Tale (Gold City),Hiroki Kikuta,SNES,1993,https://youtu.be/azffGg-0ujA
86,Best VGM 86,Tribes 2,Ice Level,Timothy Steven Clarke,PC,2001,https://youtu.be/-ewjwkXkCXE
87,Best VGM 87,Breath of Fire II,Sweet Home,Yuuko Takehara,SNES,1995,https://youtu.be/aBtR4-nKHKM
88,Best VGM 88,Dark Cloud,Owl Forest,Tomohito Nishiura,PS2,2000,https://youtu.be/isU2Wvj4HoI
89,Best VGM 89,Mario Kart 64,Rainbow Road,Kenta Nagata,N64,1997,https://youtu.be/n0x2_PweY_k
90,Best VGM 90,Castlevania,Wicked Child (Stage 3),Kinuyo Yamashita,NES,1986,https://youtu.be/vQIEHHSMCQc
91,Best VGM 91,Comix Zone,Night of the Mutants (Episode 1),Howard Drossin,Genesis,1995,https://youtu.be/gEu9cEJROg4
92,Best VGM 92,Chrono Cross,Marbule (Another World),Yasunori Mitsuda,PS1,2000,https://youtu.be/R0XHHtU7GkY
93,Best VGM 93,Super Metroid,Brinstar ~ Overgrown With Vegetation,Kenji Yamamoto & Minako Hamano,SNES,1994,https://youtu.be/4mSva2puf_Y
94,Best VGM 94,Final Fantasy Tactics,Trisection,Hitoshi Sakimoto,PS1 / PSP,1997,https://youtu.be/wjA_GpSuBQU
95,Best VGM 95,Mega Man ZX,Last Area ~ Serpent Company,"Ippo Yamada, Ryo Kawakami & Masaki Suzuki",DS,2006,https://youtu.be/cu60QOEadFM
96,Best VGM 96,Live a Live,Wait For Truth (Near Future),Yoko Shimomura,SNES,1994,https://youtu.be/R3FR6FbHDvU
97,Best VGM 97,Ys VI : The Ark of Napishtim,Quatera Woods,Hayato Sonoda & Wataru Ishibashi,PS2 / PC,2003,https://youtu.be/t_QBgBlkTyU
98,Best VGM 98,Star Ocean 3 : Till the End of Time,The Desolate Smell of Earth,Motoi Sakuraba,PS2,2003,https://youtu.be/TJ-TreNaCL4
99,Best VGM 99,Final Fantasy X,Between Ordeals (Trials),Nobuo Uematsu,PS2,2001,https://youtu.be/7uQi9plvKa0
100,Best VGM 100,Wild Arms,To a New Journey,Michiko Naruke,PS1,1997,https://youtu.be/XLWL4TgZfpo
101,Best VGM 101,Lufia II,Battle Against Sinistrals,Yasunori Shiono,SNES,1995,https://youtu.be/gS0FMfbCqBU
102,Best VGM 102,Gitaroo Man,The Legendary Theme,COIL,PS2,2001,https://youtu.be/Tkf9zCY0-W8
103,Best VGM 103,Xenogears,My Village is Number One!,Yasunori Mitsuda,PS1,1998,https://youtu.be/QuF09DVAqfI
