SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
84,Grandia,Grandia,Parm Economy,SAT,LEVEL,Parm,,
85,Secret of Mana,Secret of Mana,Curious Tale,SNES,LEVEL,Southtown,,
86,Tribes: Starsiege,Tribes: Starsiege,Glacier,PC,LEVEL,Glacier Stages,,
87,Breath of Fire II,Breath of Fire II,My Home Sweet Home,SNES,LEVEL,Gate Village,,
88,Dark Cloud,Dark Cloud,Wise Owl Forest,PS2,LEVEL,Wise Owl Forest,,
89,Mario Kart 64,Mario Kart 64,Rainbow Road,N64,LEVEL,Rainbow Road,,
90,Castlevania,Castlevania,Wicked Child,NES,LEVEL,Stage 3,,
91,Comix Zone,Comix Zone,Night Of The Mutants,GEN,LEVEL,Episode 1: Night Of The Mutants,,
92,Chrono Cross,Chrono Cross,Another Marbule,PS1,LEVEL,Another World ~ Marbule,,
93,Super Metroid,Metroid Destruction,"Overgrown Vegetation, Brinstar",SNES,LEVEL,Brinstar ~ Overgrown Vegetation Sector,,
94,Final Fantasy Tactics,Final Fantasy A,Trisection,PS1,LEVEL,Orbonne Monastery (Tutorial Battle!) / Fort Zeakden (Defeat Algus!) / Goug Machine City (Negotiation!),,
95,Mega Man ZX,Mega Man ZX5,Snake Eyes,DS,LEVEL,Slither Inc.,,
96,Live A Live,Live A Live,Wait For Truth,SNES,LEVEL,Near Future Chapter (Mecha Chapter),,
97,Ys VI: Ark of Napishtim,YS VI: Ark of Napishtim,Quatera Woods,PS2,LEVEL,Quatera Woods,,
98,Star Ocean III: Till The End Of Time,Star Ocean III: Till The End Of Time,The Desolate Smell Of Earth,PS2,LEVEL,Whipple Village,,
99,Final Fantasy X,Final Fantasy X,Between Ordeals,PS2,LEVEL,Trials,,
100,Wild Arms,Wild ARMs,To A New Journey,PS1,SCENE,Ending,,
101,Lufia II,Lufia II,The Sinistrals,SNES,BOSS,"FINAL BOSSES ~ The Sinistrals: Gades, Amon, Erim & Daos",,
102,Gitaroo Man,Gitaroo Man,The Legendary Theme,PS2,PLAY,Stage 9: The Legendary Theme,,
103,Xenogears,Xenogears,My Village Is Number One!,PS1,LEVEL,Lah Village,,
104,Halo,Halo,Main Theme,XBX,THEME,Main Theme,,
105,Parasite Eve,Parasite Eve,Primal Eyes,PS1,SCENE,Intro,,
106,Journey to Silius,Journey to Silius,Space Colony Ruins,NES,LEVEL,Stage 1: Space Colony Ruins,,
107,Ratchet & Clank,Ratchet & Clank,"Cliff Climb, Eudora",PS2,LEVEL,Eudora ~ Cliff Climb Sector,,
108,Donkey Kong Country 3: Dixie Kong's Double Trouble!,DK Country 3: Dixie's Kong Cruise,Treetop Tumble,SNES,LEVEL,Barrel Shield Bust-Up / Springing' Spiders / Ripsaw Rage / Sunken Spruce / Swoopy Salvo,,
109,Final Fantasy VI,Final Fantasy VI,Phantom Forest,SNES,LEVEL,Phantom Forest,,
110,GiFTPiA,GiFTPiA,staff,GC,THEME,Main Theme,,
111,Mystic Quest,Mystic Quest,Doom Castle,SNES,LEVEL,Doom Castle,,
112,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,Main Theme,PS2,THEME,Main Theme,,
113,Vay,Vay,Nice Day,SCD,LEVEL,Villages,,
114,Castlevania: Return of Dracula,Castlevania: Return of Dracula,Forest Of Monsters,SNES,LEVEL,Stage 2-1: Forest Of Monsters,,
115,Shadow Hearts: From the New World,Shadow Hearts III,Lady's Tears,PS2,BOSS,FINAL BOSS ~ Lady,,
116,Hot Rod,Hot Rod,Main Theme,C64,THEME,Main Theme,,
117,Yoshi's Island,Yoshi's Island,Underground,SNES,LEVEL,Underground Stages,,
118,Xenosaga Episode III: Also Sprach Zarathrustra,Xenosaga III: Also Sprach Zarathrustra,Fifth Jerusalem,PS2,LEVEL,Fifth Jerusalem,,
119,Kingdom Hearts II,Kingdom Hearts II,Sanctuary,PS2,SCENE,Opening,,
120,Breath of Fire III,Breath of Fire III,Can't You See Clearly Now?,PS1,LEVEL,The Farm / The Plant,,
121,Metroid,Metroid,Kraid's Lair,NES,LEVEL,Kraid's Lair,,
122,Arc The Lad IV,Arc The Lad IV,Offense And Defense,PS2,PLAY,Enemy Battles,,
123,Shin Megami Tensei III,Shin Megami Tensei III,Town Exorcism,PS2,PLAY,Towns ~ Enemy Battles,,
124,Mega Man 4,Mega Man 4,Skull Man's Stage,NES,LEVEL,Skull Man's Stage,,
125,F-Zero GX,F-Zero GX,Deep Claw,GC,THEME,Octoman,,
126,Romancing SaGa 3,Romancing SaGa 3,Boss Battle,SNES,BOSS,Boss Battles,,
127,Final Fantasy V,Final Fantasy V,Clash On The Big Bridge,SNES,BOSS,Gilgamesh,,
128,Castlevania: Symphony of the Night,Castlevania: Symphony of the Night,Lost Painting,PS1,LEVEL,Reverse Caverns / Anti-Chapel / Forbidden Library,,
129,Ragnarok Online 2,Ragnarok Online 2,Din Don Dan Dan,PC,THEME,Technically Unused ~ Was removed in the Legend Of The Second Version,,
130,Lagoon,Lagoon,Mark Philips Castle,SNES,LEVEL,Mark Philips Castle,,
131,Cannon Fodder,Cannon Fodder,War Has Never Been So Much Fun,AGA,SCENE,Intro,,
132,Baten Kaitos,Baten Kaitos,Chaotic Dance,GC,BOSS,"Chaotic Trio ~ Giacomo, Folon & Ayme",,
133,Wild Arms 3,Wild ARMs 3,Scenery Called Everyday,PS2,LEVEL,Jolly Roger,,
134,Chrono Trigger,Chrono Trigger,Wind Scene,SNES,MENU,600 A.D. ~ World Map,,
135,Contact,Contact,Free Time,DS,PLAY,Sailing,,
