BVGM#,Label,Piece Title,Franchise,Game Title,Year of release,YouTube URL
1321,#1321,Dirty Tricks,Henry Hatsworth,Henry Hatsworth in the Puzzling Adventure,2009,https://www.youtube.com/watch?v=RG5pZPcmNNA
1320,#1320,Molegra,Zelda,The Wind Waker,2002,https://www.youtube.com/watch?v=MX9Ns63DKK0
1319,#1319,Adabat - Jungle Joyride (Night),Sonic,Sonic Unleashed,2008,https://youtu.be/u-viYlUikSc
1318,#1318,Groose's Theme,Zelda,Skyward Sword,2011,https://youtu.be/h0GVMXR7I4k
1317,#1317,Atonement,The Binding of Isaac,Wrath of the Lamb,2011,https://www.youtube.com/watch?v=6JYuizL6NP4
1316,#1316,Forest Follies,Cuphead,Cuphead,2017,https://youtu.be/KpoJtP2Vk8Q
1315,#1315,Marine Research Laboratory,Zelda,Majora's Mask,2000,https://youtu.be/rcZfmVH1EUQ
1314,#1314,Neverending Journey,Lost Odyssey,Lost Odyssey,2007,https://youtu.be/cWYFZikuvRs
1313,#1313,Tostarena - Town,Super Mario,Super Mario Odyssey,2017,https://youtu.be/NF_S4Th8-iQ
1312,#1312,Otherworld,Axiom Verge,Axiom Verge,2015,https://youtu.be/ZvluyzpSjlw
1311,#1311,Demon Tower Title,Night in the Woods,Night in the Woods,2017,https://youtu.be/wLDJQVdiTo0
1310,#1310,Summer Theme,Harvest Moon,Harvest Moon 64,1999,https://youtu.be/SoheyXkWYIQ
1309,#1309,Town Theme,Wild Arms,Wild Arms,1996,https://youtu.be/V4DQxYF9RDQ
1308,#1308,Metropolis Zone,Sonic,Sonic the Hedgehog 2,1992,https://youtu.be/79SJtbourvs
1307,#1307,Ye Olde Showdown,The Showdown Effect,The Showdown Effect,2013,https://www.youtube.com/watch?v=r44CDjgAlok
1306,#1306,World 5,Yoshi,Yoshi's Woolly World,2015,https://youtu.be/ldqezdD9prk
1305,#1305,Nero's Law,Cloudberry Kingdom,Cloudberry Kingdom,2013,https://youtu.be/wMMg62HgCLI
1304,#1304,To Domrémy Village,Jeanne d'Arc,Jeanne d'Arc,2006,https://youtu.be/Zstgitkq8iA
1303,#1303,Punk Nightmare,Giana Sisters,Giana Sisters: Twisted Dreams,2012,https://youtu.be/pGexwr_5xRg
1302,#1302,Mr. Explorer,La-Mulana,La-Mulana,2006,https://www.youtube.com/watch?v=0ReM33WRuhc
1301,#1301,Snow Rise,Paper Mario & Luigi,Paper Mario: Sticker Star,2012,https://youtu.be/MMkB_bRiOMY
1300,#1300,Scream,Lethal League,Lethal League,2014,https://youtu.be/LOhXtZhB77Y
1299,#1299,Sunny Days,Ilimilo,Ilimilo,2010,https://youtu.be/xIZuX86RWNc
1298,#1298,Toad's Factory,Mario Kart,Mario Kart Wii,2008,https://youtu.be/egPtsCWagf0
1297,#1297,Birdie Breakdown,Slime-San,Slime-San,2017,https://youtu.be/BdmQH_bM-XM
1296,#1296,Honey B's Hive,Banjo,Banjo-Kazooie: Grunty's Revenge,2003,https://youtu.be/hpFFVNTdINc
1295,#1295,Production Path,Yooka-Laylee,Yooka Laylee and the Impossible Lair,2019,https://www.youtube.com/watch?v=x1AbJg260QA+
1294,#1294,Seal of Seven Maidens,Zelda,A Link to the Past,1991,https://youtu.be/c9fV3qjXbNA
1293,#1293,Creative Excercise,Mario Party und Sports,Mario Paint,1992,https://youtu.be/vPKBbXsotFo
1292,#1292,Like a Wind,Shinobi,The Revenge of Shinobi,1989,https://www.youtube.com/watch?v=bD0mICe1te4
1291,#1291,Love Park,SSX,SSX Blur,2007,https://youtu.be/4rz8TOBub9w
1290,#1290,A Settlement in the Red Bluffs,Octopath Traveler,Octopath Traveler,2018,https://youtu.be/ZyaWWvNxYf8
1289,#1289,Luau Island,Spyro,Spyro: Enter the Dragonfly,2002,https://www.youtube.com/watch?v=ifHn5swvxOM
1288,#1288,Rak'tika Greatwood (Day),Final Fantasy,Final Fantasy XIV,2013,https://youtu.be/CezHZiI12p0
1287,#1287,Delightful Spekkio,Chrono,Chrono Trigger,1995,https://youtu.be/PJDd9y5dqp4
1286,#1286,Sector 1,Metroid,Metroid Fusion,2002,https://www.youtube.com/watch?v=kSqUQqdr4-0
1285,#1285,Dungeon,Zelda,The Legend of Zelda,1986,https://youtu.be/NXm5vQY-hWU
1284,#1284,Break the Targets,Smash Bros,Smash Bros Melee,2001,https://youtu.be/1R8xdONAjr8
1283,#1283,Main Theme,Balloon Fight,Balloon Fight,1985,https://youtu.be/08_dah5SIO8
1282,#1282,Boss Battle,Donald,Maui Mallard in Cold Shadow,1995,https://www.youtube.com/watch?v=e9_hfOQRZEQ
1281,#1281,Mega Baby Bowser,Yoshi,Yoshi's Woolly World,2015,https://youtu.be/tA3QBElSqa8
1280,#1280,Acceptance (Piano Version),Silent Hill,Silent Hill Shattered Memories,2009,https://youtu.be/aVVU8Tmw8OY
1279,#1279,Main Theme,Ghosts/Ghouls/Goblins,Ghosts 'n' Goblins,1985,https://youtu.be/r61SLnIZm6o
1278,#1278,Mountain Pass,Jak & Daxter,Jak & Daxter: The Precursor Legacy,2001,https://youtu.be/-wJ4mChnjmE
1277,#1277,"RUN, RUN, RUN",Persona,Persona 5,2016,https://youtu.be/0dODEs82lSA
1276,#1276,Stage 6,Kirby,Kirby: Mouse Attack,2006,https://youtu.be/qYvZjwtiU8E
1275,#1275,The Swamp Whistler,Rayman,Rayman Legends,2013,https://youtu.be/wPVbjQR9_9M
1274,#1274,Hands-On-Hall,Super Mario,Super Mario 3D World,2013,https://youtu.be/lcacdI8F1TA
1273,#1273,Black Impact,Resident Evil,Resident Evil 2 Remake,2019,https://www.youtube.com/watch?v=MQ6N1iIUREY
1272,#1272,Title Theme,Dr. Chaos,Dr. Chaos,1987,https://youtu.be/Qob4o21f4hc
1271,#1271,Shardy's Shanty,LISA,LISA - The Painful RPG,2014,https://youtu.be/x1cLuIL6F2U
1270,#1270,Toxic Caves,Sonic,Sonic Spinball,1993,https://youtu.be/huLwJ6ULYyw
1269,#1269,Kine the Fish,Kirby,Kirby's Dreamland 2,1995,https://youtu.be/2Mi80DAp6gk
1268,#1268,Last Judgement,Resident Evil,Resident Evil 2 Remake,2019,https://youtu.be/eVOs5Hk7m3Y
1267,#1267,Sweatshop,Persona,Persona 5,2016,https://youtu.be/6DYIRA8Ol8U
1266,#1266,TRUE,Silent Hill,Silent Hill 2,2001,https://www.youtube.com/watch?v=21oVdzFElgI
1265,#1265,juchu,Botanicula,Botanicula,2012,https://youtu.be/UOTOZ-bM8So
1264,#1264,Bynn the Breaker,Bastion,Bastion,2011,https://youtu.be/uAHmhrc76RU
1263,#1263,Entering Pyramid,Jet Force Gemini,Jet Force Gemini,1999,https://youtu.be/w7_5JAJ94Vk
1262,#1262,The Fort Lucenne Mall,Night in the Woods,Night in the Woods,2017,https://youtu.be/f6SN904COzc
1261,#1261,Opening Theme,Goemon,The Legend of the Mystical Ninja,1991,https://youtu.be/mDLHorBxirI
1260,#1260,"World 1, Track 2",Nimbus,Nimbus,2010,https://youtu.be/uVd3k1P6XkM
1259,#1259,Beep Bop Bo Shards,Neverhood,Skullmonkeys,1998,https://youtu.be/ANJMcqH-KO0
1258,#1258,Princess Amagi,Persona,Persona 4 Arena,2012,https://youtu.be/CJQPSJmObNY
1257,#1257,"Solaris, Eden of Heaven",Xeno,Xenogears,1998,https://youtu.be/QCTlj156iMM
1256,#1256,Out Down in the Underdark,Yoku's Island Express,Yoku's Island Express,2018,https://www.youtube.com/watch?v=NHLb_LDxBvE
1255,#1255,Trash Cave,Ittle Dew,Ittle Dew 2+,2016,https://www.youtube.com/watch?v=RGBuNSeM6s8
1254,#1254,Pom Pom's Theme,Super Mario,Super Mario 3D World,2013,https://youtu.be/hUqjf_95OdU
1253,#1253,Underground,Terraria,Terraria,2011,https://youtu.be/WzExAY_62Pc
1252,#1252,Fall down to the scream (Fire Field),F-Zero,F-Zero X,1998,https://www.youtube.com/watch?v=EI7991v0Xb4
1251,#1251,Sunset Heroes,God Hand,God Hand,2006,https://youtu.be/5OkizLBzZ_o
1250,#1250,Summer Love,LISA,LISA - The Painful RPG,2014,https://youtu.be/RHIL6vastMY?si=u39rDTwOXPYTXaig
1249,#1249,Fort Fire Bros.,Super Mario,Super Mario 3D World,2013,https://youtu.be/G3kbS2NcRDQ
1248,#1248,Prologue,Final Fantasy,Final Fantasy IV,1991,https://www.youtube.com/watch?v=b4zAADA6Bog
1247,#1247,Between Life and Death,Folklore,Folklore,2007,https://youtu.be/Zzs9J0yloiY
1246,#1246,Sand Worm Battle,Wario,Wario World,2003,https://youtu.be/VyoFNBqk-yg
1245,#1245,The Great Truth Burglar,Ace Attorney,Ace Attorney Investigations: Miles Edgeworth,2010,https://youtu.be/IRFLD-qjVGs
1244,#1244,Infiltration Enemy Territory,Bravely,Bravely Default,2012,https://youtu.be/TSB8vxr2cSQ
1243,#1243,Leon's Theme,Castlevania,Castlevania Lament of Innocence,2003,https://youtu.be/Exe3-knMNJI
1242,#1242,Cradle of Forest,Silent Hill,Silent Hill 4: The Room,2004,https://www.youtube.com/watch?v=u-WUAGN6Vgg
1241,#1241,Throne of the Lost King,Trine,Trine,2009,https://youtu.be/9wwp8jngiIY
1240,#1240,Beta-B,To the Moon,To the Moon,2011,https://youtu.be/WNlX29K_eyg
1239,#1239,Scareship Shootout,Yooka-Laylee,Yooka Laylee and the Impossible Lair,2019,https://youtu.be/nnPDOOElUuc
1238,#1238,Someday the Dream Will End,Final Fantasy,Final Fantasy X,2001,https://youtu.be/ehrF1smIJ4E
1237,#1237,Pleased,Super Stickerman Golf,Super Stickerman Golf 2,2013,https://www.youtube.com/watch?v=QtQ6LiRaz1c
1236,#1236,His World - Theme of Sonic the Hedgehog,Sonic,Sonic the Hedgehog (2006),2006,https://youtu.be/3OV_9mIGYeY
1235,#1235,Stone Valley,Pokémon,Pokémon Snap,1999,https://www.youtube.com/watch?v=P2H92LlmGjg
1234,#1234,Village of the Doomed,Alice,American McGee's Alice,2000,https://youtu.be/P6sFt8Zk4Ik
1233,#1233,"Father Gascoigne, the Hunter",Soulsborne,Bloodborne,2015,https://www.youtube.com/watch?v=pKnX6_Qk2M4
1232,#1232,Glinting Cosmic Mambo,Chibi-Robo,Chibi-Robo,2005,https://www.youtube.com/watch?v=qasf498gr70
1231,#1231,Mushroom Gorge,Mario Kart,Mario Kart Wii,2008,https://www.youtube.com/watch?v=pNCmtR6WgXs
1230,#1230,Dark Saint,Lost Odyssey,Lost Odyssey,2007,https://www.youtube.com/watch?v=0gRdwOW_2GE
1229,#1229,Crimes,Night in the Woods,Night in the Woods,2017,https://youtu.be/Cpp9cjy8_vg
1228,#1228,Arrow to the Head,LISA,LISA - The Joyful RPG,2014,https://www.youtube.com/watch?v=mjAfrGPbNCM
1227,#1227,Stage 2A,Rocket Knight,Rocket Knight Adventures,1993,https://youtu.be/I-j9Npc00gE
1226,#1226,Nature,Mr Nutz,Mr Nutz,1993,https://www.youtube.com/watch?v=HNXQgh59Vjs
1225,#1225,Hideout Helm,Donkey Kong,Donkey Kong 64,1999,https://www.youtube.com/watch?v=g08gJQ64iG4
1224,#1224,Bowser's Galaxy Reactor,Super Mario,Super Mario Galaxy,2007,https://www.youtube.com/watch?v=zv9ENSLrUZw
1223,#1223,Cave Dweller Concert,Donkey Kong,Donkey Kong Country,1994,https://www.youtube.com/watch?v=e0ZdQsr6aTM
1222,#1222,Unfinished Business,Skullgirls,Skullgirls,2012,https://youtu.be/jM_AeKcNXbs
1221,#1221,Bontiful Star,Kirby,Kirby: Planet Robobot,2016,https://youtu.be/eYE9kT6Y0jE
1220,#1220,A Person's Warmth,Wild Arms,Wild Arms 3,2002,https://youtu.be/XS9MGiNGmkA
1219,#1219,Paper Dolls,Digital,Digital: A Love Story,2010,https://youtu.be/nZMQt_G15ZQ
1218,#1218,Vitamin Metropolis (London),Shadow Hearts,Shadow Hearts,2001,https://youtu.be/rs82AuL3cuI
1217,#1217,Stage 1,Gunstar Heroes,Gunstar Heroes,1993,https://www.youtube.com/watch?v=MaBddnfpjHc
1216,#1216,Yoshi's Island,Mario Party und Sports,Mario Party,1998,https://youtu.be/1OuZxyDMcfg
1215,#1215,Fangle Forest,Trine,Trine,2009,https://youtu.be/BjH20vVLke0
1214,#1214,Blob in Space,de Blob,de Blob 2,2011,https://youtu.be/hHx6KJxAd0Q
1213,#1213,Ideal and the Real,Persona,Persona 5,2016,https://youtu.be/zUVKC46Jvdg
1212,#1212,Beautiful Prison,Kirby,Kirby: Triple Deluxe,2014,https://youtu.be/73rNnNQoqJM
1211,#1211,Boulevard,Atom Zombie Smasher,Atom Zombie Smasher,2011,https://youtu.be/DYUfybF_Ako
1210,#1210,Golden Lands,Bug Fables,Bug Fables,2019,https://www.youtube.com/watch?v=LiGZ18iDC8k
1209,#1209,Alec's Log House,Mother,Mother 3,2006,https://www.youtube.com/watch?v=mRu8tuwXQJ8
1208,#1208,With Mila's Divine Protection,Fire Emblem,Fire Emblem Gaiden (Smash),1992,https://youtu.be/q_XdS0iMmZM
1207,#1207,Sand Ocean,F-Zero,F-Zero,1990,https://youtu.be/1vncYjCvf9k
1206,#1206,I Was the Sun (Before it was Cool),Starbound,Starbound,2016,https://youtu.be/lqPas_WZD6w
1205,#1205,Gin and Tonic and Red Roses,Katamari,Katamari Damacy,2004,https://www.youtube.com/watch?v=B6veKMcGWIo
1204,#1204,Secret Island,Kirby,Kirby's Epic Yarn,2010,https://www.youtube.com/watch?v=ILzem54P1ZY
1203,#1203,Dung Defender,Hollow Knight,Hollow Knight,2017,https://youtu.be/l7kloXcP7JU
1202,#1202,Muda Kingdom,Super Mario,Super Mario Land,1989,https://youtu.be/g7P1yMHvDaY
1201,#1201,Ballroom Disco,Grabbed by the Ghoulies,Grabbed by the Ghoulies,2003,https://www.youtube.com/watch?v=oYxSd3DsJok
1200,#1200,Track and Wield,RIVE,RIVE,2016,https://www.youtube.com/watch?v=za6CAQZJzeI
1199,#1199,Traumerei,Persona,Persona 4,2008,https://youtu.be/qvVvP_JM1mA
1198,#1198,Gene's Rock-a-Bye,God Hand,God Hand,2006,https://youtu.be/ASWlaJXAGYk
1197,#1197,The Steel Samurai,Ace Attorney,Phoenix Wright: Ace Attorney,2001,https://youtu.be/3HwjoGYf0Fk
1196,#1196,Yuga Battle,Zelda,A Link Between Worlds,2013,https://youtu.be/vYpVxfkgN-Q
1195,#1195,Last Stand,FTL,FTL,2012,https://youtu.be/Kh7D4dryhrw
1194,#1194,Jump Up,Super One More Jump,Super One More Jump,2018,https://www.youtube.com/watch?v=OYMRa1juQPU
1193,#1193,Town - Outdoors,The Nightmare of Druaga,The Nightmare of Druaga: Fushigino Dungeon,2004,https://youtu.be/cImgkgdZqgk
1192,#1192,And My Name's Booster,Paper Mario & Luigi,Super Mario RPG,1996,https://www.youtube.com/watch?v=Ai7YmsDdBSM
1191,#1191,Golden Riverbank,Rabi-Ribi,Rabi-Ribi,2016,https://youtu.be/PDE02YxxrzI
1190,#1190,Fangora,Kirby,Kirby's Epic Yarn,2010,https://youtu.be/WyS6cO_2JUk
1189,#1189,L'Impeto Oscuro,Kindgom Hearts,Kingdom Hearts 3D: Dream Drop Distance,2012,https://youtu.be/G9VpR342Cg0
1188,#1188,Prisoner of the Badlands,Jamestown,Jamestown,2011,https://youtu.be/ggoD_J6hKes
1187,#1187,Snowy Valak Mountain,Xeno,Xenoblade Chronicles,2010,https://youtu.be/dK7zmcqXykQ
1186,#1186,The Mountains,Guardian of Paradise,Guardian of Paradise,2005,https://youtu.be/rxfBDFdf1NI
1185,#1185,Platinum's Theme,BazBlue,BazBlue: Continuum Shift,2009,https://youtu.be/22tS1gHHVPQ
1184,#1184,Hammer Bros.,Super Mario,Super Mario Bros. 3,1988,https://www.youtube.com/watch?v=8Ih886AzcXg
1183,#1183,Mad Forest,Castlevania,Castlevania III: Dracula's Curse,1989,https://www.youtube.com/watch?v=ymV59McSp-0
1182,#1182,Dingodile,Crash Bandicoot,Crash Bandicoot 3,1998,https://youtu.be/dU_R9AWaa-Q
1181,#1181,Circular Conclusions,PB Winterbottom,The Misadventures of PB Winterbottom,2010,https://www.youtube.com/watch?v=L-_moQF1DJA
1180,#1180,Winters,Mother,Earthbound,1994,https://youtu.be/iH2zp4EUDMY
1179,#1179,Title Screen,Epic Dumpster Bear,Epic Dumpster Bear,2016,https://youtu.be/4fCX7R8M60o
1178,#1178,Nature's Crescendo,Stardew Valley,Stardew Valley,2016,https://www.youtube.com/watch?v=BzmoLjK7TP4
1177,#1177,Mexican Flyer,Space Channel 5,Space Channel 5,1999,https://youtu.be/7rMunXgwchs
1176,#1176,Route 10,Pokémon,Pokémon Black/White,2010,https://youtu.be/2QGjWbw19Ik
1175,#1175,The Dark Tower,Battletoads,Battletoads in Battlemaniacs,1993,https://www.youtube.com/watch?v=IbhzNuRyJL8
1174,#1174,Corneria,Starfox,Starfox,1993,https://youtu.be/MAPsFBBWRkM
1173,#1173,Vaas Fight,Far Cry,Far Cry 3,2012,https://youtu.be/KinXZV6KZAg
1172,#1172,Miss Cluck the Insincere,Yoshi,Yoshi's Woolly World,2015,https://youtu.be/kg2WsCh7SyM
1171,#1171,Mechanical World,Pop'n'Twinbee,Pop'n'Twinbee,1993,https://youtu.be/Cge34WKVNww
1170,#1170,Hisstocrat,Super Mario,Super Mario 3D World,2013,https://youtu.be/R2QPT3AUNA8
1169,#1169,Courtney Gears Battle,Ratchet & Clank,Ratchet & Clank: Up Your Arsenal,2004,https://youtu.be/_tA8w-8x81Q
1168,#1168,Dreamer,Streets of Rage,Streets of Rage 2,1992,https://youtu.be/K8JyCbL5u5c
1167,#1167,Main Theme,Star Wars,Star Wars: Rogue Squadron,1998,https://www.youtube.com/watch?v=GNpUvi0h18Q
1166,#1166,Heartache,Undertale,Undertale,2015,https://www.youtube.com/watch?v=MxCZZQTJgDA
1165,#1165,Piranha Plant Slide,Mario Kart,Mario Kart 7,2011,https://www.youtube.com/watch?v=IblLxSX342U
1164,#1164,My Village is Number One!,Xeno,Xenogears,1998,https://youtu.be/nnYvsDFjxr8
1163,#1163,Dancing Leaves,Ristar,Ristar,1995,https://youtu.be/o3gE0wEgz9E
1162,#1162,Conker the King,Conker,Conker's Bad Fur Day,2001,https://youtu.be/UKVT99ntxaQ
1161,#1161,Hopping Sun,Radiata Stories,Radiata Stories,2005,https://youtu.be/A14jM6X3DkY
1160,#1160,Lone Star,Sword & Sworcery,Superbrothers: Sword & Sworcery EP,2011,https://youtu.be/rpgDLgeLSqU
1159,#1159,The Mancer's Dilemma,Bastion,Bastion,2011,https://www.youtube.com/watch?v=U7aCR3QyQhw
1158,#1158,Track Attack,Yooka-Laylee,Yooka-Laylee,2017,https://www.youtube.com/watch?v=ADCp5TKqzes
1157,#1157,Witch Dagger,Night in the Woods,Night in the Woods,2017,https://youtu.be/wpvoDqWDWY8
1156,#1156,Dangan Ronpa!,Danganronpa,Danganronpa,2010,https://youtu.be/yAHF6KyiMnc
1155,#1155,Grass Land,Kirby,Kirby's Dreamland 2,1995,https://youtu.be/8At6tBSU2ro
1154,#1154,Relic Forest,Pokémon,Pokémon Colosseum,2003,https://www.youtube.com/watch?v=cJxJW-K-4xU
1153,#1153,Underwater Waltz,Night in the Woods,Night in the Woods,2017,https://www.youtube.com/watch?v=agIsct3C2tM
1152,#1152,Green Garden,Bomberman,Bomberman 64,1997,https://youtu.be/1la4CGVq71M
1151,#1151,Legend of the Throne,Nuclear Throne,Nuclear Throne,2015,https://youtu.be/6UOyMuQ0UGA
1150,#1150,Dino Jungle,Kirby,Kirby's Epic Yarn,2010,https://youtu.be/3VOCPaMp1Ow
1149,#1149,Boy Meets Girl (Twoson),Mother,Earthbound,1994,https://youtu.be/qImyLXAATx4
1148,#1148,Dumpster Desert,Epic Dumpster Bear,Epic Dumpster Bear,2016,https://youtu.be/tvXLkgChi24
1147,#1147,Lively Town,Shining Force,Shining Force II,1993,https://youtu.be/N6AYvx87wko
1146,#1146,Main Theme,Luigi,Luigi's Mansion,2001,https://youtu.be/62ONZ35aaDE
1145,#1145,Chaosium Sword (Intro),Ninja Gaiden,Ninja Gaiden II,1990,https://youtu.be/kepRFJ0KIz4
1144,#1144,Primal Rave,Donkey Kong,Donkey Kong Country 2,1995,https://youtu.be/5YxEUyWSYPM
1143,#1143,A Sea Breeze Blows,Octopath Traveler,Octopath Traveler,2018,https://youtu.be/gS5Qp-Whwls
1142,#1142,Borduoin vs. Chevaliers,Rhythm Thief,Rhythm Thief and the Emperor's Treasure,2012,https://youtu.be/eSaMhYqI7ks
1141,#1141,Moo Moo Meadows,Mario Kart,Mario Kart Wii,2008,https://youtu.be/gthKhxHybTU
1140,#1140,Rockmen (Explore),FTL,FTL,2012,https://youtu.be/ivHqDfVO5d8
1139,#1139,Minigame,Zelda,A Link Between Worlds,2013,https://youtu.be/o4LRkTefUXs
1138,#1138,Grunty Industries,Banjo,Banjo-Tooie,2000,https://youtu.be/TmreyiEWLP4
1137,#1137,The Land in War,Bravely,Bravely Default,2012,https://youtu.be/ls1-1AVOw8M
1136,#1136,Astral Observatory,Zelda,Majora's Mask,2000,https://youtu.be/tVnqV12RWQA
1135,#1135,World 3 Part 1,Trip World,Trip World,1992,https://youtu.be/XY5B85BCqRk
1134,#1134,Boss Battle Theme #1,Kid Icarus,Kid Icarus: Uprising,2012,https://youtu.be/_BN012bm3cs
1133,#1133,Boss Boogie,Donkey Kong,Donkey Kong Country 3,1996,https://youtu.be/31OgulJe7hA
1132,#1132,Heart of Fire,Castlevania,Castlevania,1986,https://www.youtube.com/watch?v=jythmccMK8s
1131,#1131,Hanging at Funky's,Donkey Kong,Donkey Kong Country 3,1996,https://youtu.be/8AZStI2RfMM
1130,#1130,Multiplayer Theme 3,Splatoon,Splatoon,2015,https://www.youtube.com/watch?v=AoYICOzX-BY
1129,#1129,Build That Wall,Bastion,Bastion,2011,https://youtu.be/myKME6R71QA
1128,#1128,"Intro 2 (""In Game Music"")",Giana Sisters,Gianna Sisters,1987,https://youtu.be/MX3vkFSffiA
1127,#1127,A Little Light Snowfall,Yoshi,Yoshi's Woolly World,2015,https://www.youtube.com/watch?v=07oqUX68Ad0
1126,#1126,Turbo Jet,Pilotwings,Pilotwings Resort,2011,https://youtu.be/27w5QS8bNnw
1125,#1125,Maridia - Swampy Caverns,Metroid,Super Metroid,1994,https://youtu.be/zeaX5EReU94
1124,#1124,Boy oh Boy,Lisa,Lisa: The Painful RPG,2014,https://youtu.be/e5T7z13UtmI
1123,#1123,Tortimer Island Tour,Animal Crossing,Animal Crossing: New Leaf,2012,https://youtu.be/KWMx0E-AsWo
1122,#1122,Hide and Seek,Final Fantasy,FFCC: The Crystal Bearers,2009,https://youtu.be/EJ4Wit3HaFA
1121,#1121,Funkmaster Flower Train,Chibi-Robo,Chibi-Robo,2005,https://youtu.be/Ie4HBcFc7Lo
1120,#1120,City Trial,Kirby,Kirby Air Ride,2003,https://youtu.be/9nuVyM13fMw
1119,#1119,Classic Mode,Bomberman,Bomberman Generation,2002,https://youtu.be/kbVPeiBjfIo
1118,#1118,Kaepora Gaebora's Theme,Zelda,Ocarina of Time,1998,https://www.youtube.com/watch?v=7mWSKXYct2s
1117,#1117,Water is Sink,Baba is You,Baba is You,2019,https://youtu.be/514AhyM42WE
1116,#1116,Together we Ride,Fire Emblem,Fire Emblem ?,1990,https://youtu.be/LmrIWKyHaHs
1115,#1115,Amnesia,Axiom Verge,Axiom Verge,2015,https://youtu.be/5nlJMGQaO_8
1114,#1114,Through the Fields,Dragon Quest,Dragon Quest VI,1995,https://youtu.be/m1fppHNzJBE
1113,#1113,Kirkhope,Soundoger,Soundoger,2013,https://youtu.be/TsGAz3Lz7PM
1112,#1112,Song of Freedom Fighters,Radiata Stories,Radiata Stories,2005,https://youtu.be/qUyAoW9RNgA
1111,#1111,Underworld 2,Blaster Master,Blaster Master Zero,2017,https://youtu.be/A_nd3DXjdKU
1110,#1110,Mother Earth (Main Theme),Mother,Mother,1989,https://www.youtube.com/watch?v=jJ0qXG2cT1c
1109,#1109,cyberspace.exe,Rabi-Ribi,Rabi-Ribi,2016,https://youtu.be/sdR-o6PgtQk
1108,#1108,Deep Woods,Sonic,Sonic and the Black Knight,2009,https://youtu.be/h8Usi0Ndh2o
1107,#1107,National Anthem of Bydo Empire,R-Type,Super R-Type,1991,https://youtu.be/64cgwsag-s0
1106,#1106,Alien Song,BattleBlock Theater,BattleBlock Theater,2013,https://youtu.be/12az8P78gF0
1105,#1105,She's Mine!!!,Wandersong,Wandersong,2018,https://youtu.be/JeK_mcqV8qU
1104,#1104,Lanius Battle,FTL,FTL,2012,https://www.youtube.com/watch?v=Zg-hQ_aQ3_4
1103,#1103,Men's Hair Club,LISA,LISA - The Painful RPG,2014,https://youtu.be/BGSTXT11-Rg
1102,#1102,Submap Shuffle,Donkey Kong,Donkey Kong Country 3,1996,https://youtu.be/KSGGhrAOiiQ
1101,#1101,Bubble Barrage,Toki Tori,Toki Tori,2008,https://youtu.be/FGRCkq0on1o
1100,#1100,The Ultimate Evil,Splatterhouse,Splatterhouse 2,1992,https://youtu.be/tzcmjsjvddk
1099,#1099,Pollyanna,Mother,Mother,1989,https://youtu.be/mHDBUIqlC-U
1098,#1098,Fungi Forest (Day),Donkey Kong,Donkey Kong 64,1999,https://youtu.be/538mhM-hQ_w
1097,#1097,Credits,Wario,Wario Land 3,2000,https://youtu.be/sn5q-0TXx9M
1096,#1096,Stage 1,Journey to Silius,Journey to Silius,1990,https://youtu.be/aczChdk9gDc
1095,#1095,Shop,Zelda,Ocarina of Time,1998,https://youtu.be/9vlSy9zo5vQ
1094,#1094,Coo the Owl,Kirby,Kirby's Dreamland 2,1995,https://youtu.be/qiogPmnNuIk
1093,#1093,Powerful Mario,Super Mario,Super Mario 64,1996,https://www.youtube.com/watch?v=5UidvJ7OtJg
1092,#1092,Rockslide Rumble,Crash Bandicoot,Crash Twinsanity,2004,https://youtu.be/Xq6sYMCTOas
1091,#1091,Title Theme,Ice Climber,Ice Climber,1984,https://youtu.be/jlhLuGSYYKU
1090,#1090,Credits,Return of the Obra Dinn,Return of the Obra Dinn,2018,https://www.youtube.com/watch?v=oHYvv5UNFuw
1089,#1089,Dawn of the First Day,Zelda,A Link Between Worlds,2013,https://youtu.be/67JAoqwjxIs
1088,#1088,Luma,Super Mario,Super Mario Galaxy,2007,https://youtu.be/R2Tfa4EnHO4
1087,#1087,Dusk Stars,Night in the Woods,Night in the Woods,2017,https://youtu.be/iSHmsKYh-XU
1086,#1086,Gibbet Hill - Pilgramage,Tearaway,Tearaway,2013,https://youtu.be/IqDREcSFISk
1085,#1085,Sand Castle,Ittle Dew,Ittle Dew 2+,2016,https://youtu.be/d5v5qpH-nDY
1084,#1084,The Sacred Hills,Bug Fables,Bug Fables,2019,https://youtu.be/H_LuTs7rwuk
1083,#1083,Brothers Bears,Donkey Kong,Donkey Kong Country 3,1996,https://youtu.be/f7SXDW5O1iY
1082,#1082,Bloodborne,Soulsborne,Bloodborne,2015,https://www.youtube.com/watch?v=oFHCCoPWJfw
1081,#1081,Ordon Village,Zelda,Twilight Princess,2006,https://www.youtube.com/watch?v=BJIBty4_1ac
1080,#1080,Mission Complete,Goldeneye Dark,Perfect Dark,2000,https://youtu.be/aD3qhtJb3_U
1079,#1079,Reincarnated Soul (Stage 1),Castlevania,Castlevania Bloodlines,1994,https://youtu.be/FKzRpIL9P2Y
1078,#1078,Theme,Grand Theft Auto,Grand Theft Auto San Andreas,2004,https://youtu.be/5p67xxI9wiY
1077,#1077,Cotton Island,Plok,Plok,1993,https://youtu.be/mnxWd5u_nj4
1076,#1076,"Rise and Shine, Ursine",Danganronpa,Neu Danganronpa V3,2017,https://youtu.be/K9khjqrfApo
